# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 100
1 0.707107 0.000000 0.707107 0.000000 2.000000 1.000000 1.269690 1 00040_front.png

2 0.714468 0.699646 -0.005021 0.002177 -0.746036 1.224533 5.052945 1 00041_front.png

3 0.711501 0.702983 0.015869 0.014501 10.196387 20.014989 59.100648 1 00042_front.png

4 0.711501 0.702983 0.015869 0.014501 10.022387 20.114989 59.100648 1 00043_front.png

5 0.711501 0.702983 0.015869 0.014501 9.889387 20.314989 59.100648 1 00044_front.png

6 0.711501 0.702983 0.015869 0.014501 9.666887 20.379989 59.100648 1 00045_front.png

7 0.711501 0.702983 0.015869 0.014501 9.631657 20.429064 59.100648 1 00046_front.png

8 0.711501 0.702983 0.015869 0.014501 9.589657 20.499364 59.100648 1 00047_front.png

9 0.711501 0.702983 0.015869 0.014501 9.511201 20.683131 59.100648 1 00048_front.png

10 0.711501 0.702983 0.015869 0.014501 9.438958 20.714989 59.100648 1 00049_front.png

11 0.711501 0.702983 0.015869 0.014501 9.350408 20.783028 59.100648 1 00050_front.png

12 0.711501 0.702983 0.015869 0.014501 9.279685 20.851787 59.100648 1 00051_front.png

13 0.711501 0.702983 0.015869 0.014501 9.224107 20.919750 59.100648 1 00052_front.png

14 0.711501 0.702983 0.015869 0.014501 9.216778 20.978750 59.100648 1 00053_front.png

15 0.711501 0.702983 0.015869 0.014501 9.149660 21.018761 59.100648 1 00054_front.png

16 0.711501 0.702983 0.015869 0.014501 9.100391 21.089770 59.100648 1 00055_front.png

17 0.711501 0.702983 0.015869 0.014501 9.009730 21.124310 59.100648 1 00056_front.png

18 0.711501 0.702983 0.015869 0.014501 8.934107 21.189734 59.100648 1 00057_front.png

19 0.711501 0.702983 0.015869 0.014501 8.877658 21.216120 59.100648 1 00058_front.png

20 0.711501 0.702983 0.015869 0.014501 8.839408 21.283238 59.100648 1 00059_front.png

21 0.711501 0.702983 0.015869 0.014501 8.814115 21.316780 59.100648 1 00060_front.png

22 0.711501 0.702983 0.015869 0.014501 8.741198 21.389518 59.100648 1 00061_front.png

23 0.711501 0.702983 0.015869 0.014501 8.710719 21.417222 59.100648 1 00062_front.png

24 0.711501 0.702983 0.015869 0.014501 8.637190 21.578750 59.100648 1 00063_front.png

25 0.711501 0.702983 0.015869 0.014501 8.597190 21.658750 59.100648 1 00064_front.png

26 0.711501 0.702983 0.015869 0.014501 8.527190 21.711279 59.100648 1 00065_front.png

27 0.711501 0.702983 0.015869 0.014501 8.516638 21.820322 59.100648 1 00066_front.png

28 0.711501 0.702983 0.015869 0.014501 8.373289 21.957653 59.100648 1 00067_front.png

29 0.711501 0.702983 0.015869 0.014501 8.310633 22.067649 59.100648 1 00068_front.png

30 0.711501 0.702983 0.015869 0.014501 8.204200 22.173132 59.100648 1 00069_front.png

31 0.711501 0.702983 0.015869 0.014501 8.120208 22.216750 59.100648 1 00070_front.png

32 0.711501 0.702983 0.015869 0.014501 7.974147 22.322324 59.100648 1 00071_front.png

33 0.711501 0.702983 0.015869 0.014501 7.840750 22.429270 59.100648 1 00072_front.png

34 0.711501 0.702983 0.015869 0.014501 7.739739 23.373028 59.100648 1 00073_front.png

35 0.711501 0.702983 0.015869 0.014501 7.694300 23.483131 59.100648 1 00074_front.png

36 0.711501 0.702983 0.015869 0.014501 7.588700 24.328131 59.100648 1 00075_front.png

37 0.711501 0.702983 0.015869 0.014501 7.489759 24.416770 59.100648 1 00076_front.png

38 0.711501 0.702983 0.015869 0.014501 7.399729 24.629940 59.100648 1 00077_front.png

39 0.711501 0.702983 0.015869 0.014501 7.240412 24.782429 59.100648 1 00078_front.png

40 0.711501 0.702983 0.015869 0.014501 7.210740 24.898757 59.100648 1 00079_front.png

